restaurant_id,total_orders,average_order_value,total_revenue,average_delivery_time,restaurant_rating,cluster
REST_0001,52,237.72500000000002,12361.7,51.134693877551015,3.5,1
REST_0002,45,2447.8035555555557,110151.16,55.68863636363637,4.2,0
REST_0003,47,590.3021276595745,27744.2,51.246511627906976,3.5,1
REST_0004,61,842.974918032787,51421.47,51.50588235294118,3.6,1
REST_0005,53,188.22,9975.66,47.66595744680851,3.8,1
REST_0006,36,309.68027777777775,11148.49,47.646875,4.3,1
REST_0007,44,2686.3656818181817,118200.09,52.836585365853665,3.8,0
REST_0008,37,761.0727027027027,28159.69,50.273529411764706,3.6,1
REST_0009,56,2020.4912499999998,113147.51,53.24727272727272,4.3,0
REST_0010,43,430.103023255814,18494.43,52.58974358974359,4.8,1
REST_0011,61,329.03885245901637,20071.37,53.229824561403504,4.4,1
REST_0012,88,1731.306590909091,152354.98,51.433749999999996,4.9,0
REST_0013,60,580.3235,34819.409999999996,46.75454545454546,4.7,1
REST_0014,55,349.3021818181818,19211.62,50.58,3.9,1
REST_0015,97,359.99989690721645,34919.99,45.90568181818182,4.4,1
REST_0016,40,601.7202500000001,24068.81,54.15833333333333,4.1,1
REST_0017,35,566.122,19814.27,45.33870967741935,4.6,1
REST_0018,44,936.4838636363637,41205.29,45.821951219512194,4.1,1
REST_0019,50,171.02360000000002,8551.18,43.358695652173914,3.7,1
REST_0020,36,273.2577777777778,9837.28,46.71764705882353,4.7,1
REST_0021,35,1347.288,47155.08,48.11875,4.2,1
REST_0022,42,311.28166666666664,13073.83,48.0,3.8,1
REST_0023,42,517.0350000000001,21715.47,51.689743589743586,3.9,1
REST_0024,80,765.2845,61222.76,47.48243243243243,3.8,1
REST_0025,52,158.9746153846154,8266.68,48.92978723404255,3.6,1
REST_0026,34,826.5026470588235,28101.09,49.40714285714286,3.9,1
REST_0027,40,880.267,35210.68,49.34102564102564,4.3,1
REST_0028,51,692.9545098039216,35340.68,52.93863636363637,4.1,1
REST_0029,45,640.712888888889,28832.08,50.49166666666667,3.9,1
REST_0030,37,242.5937837837838,8975.970000000001,56.86857142857143,4.8,1
REST_0031,44,584.1340909090909,25701.899999999998,45.66190476190476,3.2,1
REST_0032,69,818.5227536231884,56478.07,49.728070175438596,4.2,1
REST_0033,30,505.3603333333333,15160.81,46.41153846153846,4.0,1
REST_0034,32,318.6325,10196.24,57.836666666666666,3.7,1
REST_0035,49,564.2902040816326,27650.22,51.07333333333334,4.3,1
REST_0036,42,1586.6780952380952,66640.48,49.292307692307695,4.0,0
REST_0037,51,582.6870588235295,29717.04,49.30869565217391,4.7,1
REST_0038,51,804.1556862745099,41011.94,48.38333333333333,4.5,1
REST_0039,81,671.6682716049382,54405.13,48.80138888888889,5.0,1
REST_0040,28,2182.746785714286,61116.91,50.144,3.9,0
REST_0041,50,1512.444,75622.2,54.85833333333333,4.7,0
REST_0042,91,149.57967032967034,13611.75,49.89772727272727,3.6,1
REST_0043,75,801.6186666666667,60121.4,48.16197183098591,4.1,1
REST_0044,48,369.19416666666666,17721.32,50.540909090909096,3.9,1
REST_0045,41,482.7348780487805,19792.13,53.33947368421053,4.4,1
REST_0046,30,306.7323333333333,9201.97,56.18846153846154,4.4,1
REST_0047,25,526.4592,13161.48,50.98333333333333,3.7,1
REST_0048,51,327.8709803921568,16721.42,45.55918367346939,4.4,1
REST_0049,53,847.8326415094339,44935.13,47.04468085106383,3.9,1
REST_0050,56,888.6923214285714,49766.77,53.81132075471698,3.7,1
REST_0051,43,325.0806976744186,13978.47,50.9075,4.1,1
REST_0052,45,1670.5984444444443,75176.93,50.65714285714286,3.4,0
REST_0053,43,788.7311627906977,33915.44,45.445,4.5,1
REST_0054,68,669.5880882352941,45531.99,49.65573770491803,4.1,1
REST_0055,64,419.1646875,26826.54,53.21785714285714,4.1,1
REST_0056,35,256.36,8972.6,47.7375,4.1,1
REST_0057,42,997.2685714285714,41885.28,51.745000000000005,4.8,1
REST_0058,51,363.68392156862745,18547.88,47.76666666666667,4.8,1
REST_0059,53,474.1733962264151,25131.19,55.30204081632653,4.7,1
REST_0060,53,984.0386792452831,52154.05,51.32916666666667,4.1,1
REST_0061,50,395.8586,19792.93,54.7,3.6,1
REST_0062,46,1669.7878260869566,76810.24,45.23409090909091,4.1,0
REST_0063,110,271.4908181818182,29863.99,49.0843137254902,4.2,1
REST_0064,40,2242.6014999999998,89704.06,47.445454545454545,4.5,0
REST_0065,38,262.31684210526316,9968.04,43.94444444444444,4.2,1
REST_0066,50,538.5312,26926.56,51.36938775510204,3.6,1
REST_0067,33,335.54333333333335,11072.93,51.08064516129032,3.9,1
REST_0068,59,1073.551186440678,63339.520000000004,47.14909090909091,3.8,1
REST_0069,29,858.6093103448277,24899.670000000002,46.95,4.3,1
REST_0070,34,322.5432352941176,10966.47,46.4375,4.4,1
REST_0071,54,688.367037037037,37171.82,50.251999999999995,4.4,1
REST_0072,50,555.9558000000001,27797.79,49.30212765957447,4.2,1
REST_0073,75,777.2105333333334,58290.79,51.90285714285714,3.2,1
REST_0074,78,1802.3415384615387,140582.64,51.81267605633803,3.3,0
REST_0075,44,971.4356818181818,42743.17,48.85641025641026,4.0,1
REST_0076,90,176.50744444444445,15885.67,48.31829268292683,4.1,1
REST_0077,58,271.9506896551724,15773.14,56.39411764705882,4.7,1
REST_0078,46,618.8417391304348,28466.72,48.13809523809524,4.1,1
REST_0079,47,938.6287234042554,44115.55,51.35,3.7,1
REST_0080,33,201.91272727272727,6663.12,48.748387096774195,4.4,1
REST_0081,64,163.06171875,10435.95,47.08305084745763,4.1,1
REST_0082,52,574.6663461538461,29882.649999999998,45.69019607843137,3.9,1
REST_0083,48,2833.7654166666666,136020.74,51.41702127659574,3.4,0
REST_0084,46,207.70913043478262,9554.62,51.22558139534883,4.1,1
REST_0085,62,502.02000000000004,31125.24,52.191071428571426,4.2,1
REST_0086,32,536.833125,17178.66,55.61612903225806,3.7,1
REST_0087,34,764.9085294117647,26006.89,52.89333333333333,4.4,1
REST_0088,34,183.08588235294118,6224.92,51.877419354838715,4.4,1
REST_0089,46,532.5378260869564,24496.739999999998,47.27906976744186,4.1,1
REST_0090,34,1830.634705882353,62241.58,51.372727272727275,4.1,0
REST_0091,50,273.198,13659.9,46.55681818181818,4.5,1
REST_0092,22,924.2663636363636,20333.86,58.595000000000006,4.3,1
REST_0093,49,277.3206122448979,13588.71,48.37826086956522,3.8,1
REST_0094,42,394.89476190476194,16585.58,47.89722222222222,4.0,1
REST_0095,66,848.7413636363636,56016.93,46.66451612903226,4.4,1
REST_0096,73,673.9997260273973,49201.98,48.3,3.2,1
REST_0097,48,309.0520833333333,14834.5,49.58095238095238,3.7,1
REST_0098,48,832.9752083333333,39982.81,51.28409090909091,4.4,1
REST_0099,41,984.5831707317074,40367.91,57.156410256410254,4.6,1
REST_0100,57,725.831052631579,41372.37,48.16326530612245,4.6,1
REST_0101,55,767.6241818181818,42219.33,48.10980392156863,4.5,1
REST_0102,63,258.8198412698413,16305.65,46.616981132075466,4.2,1
REST_0103,46,2591.1934782608696,119194.9,53.016279069767435,3.6,0
REST_0104,46,586.3302173913044,26971.19,48.70232558139534,4.0,1
REST_0105,37,608.7943243243243,22525.39,51.00625,3.2,1
REST_0106,59,639.8301694915255,37749.98,52.09285714285714,4.7,1
REST_0107,20,222.901,4458.02,44.352631578947374,3.7,1
REST_0108,43,342.6020930232558,14731.89,47.0025641025641,3.9,1
REST_0109,64,445.1975,28492.64,48.83898305084746,4.6,1
REST_0110,64,599.35546875,38358.75,51.69830508474576,3.4,1
REST_0111,70,2864.8795714285716,200541.57,43.40151515151515,3.6,0
REST_0112,32,2037.594375,65203.02,47.019999999999996,4.2,0
REST_0113,79,373.6555696202532,29518.79,50.21805555555555,4.3,1
REST_0114,33,486.62666666666667,16058.68,47.74,4.1,1
REST_0115,60,570.9853333333334,34259.12,47.86545454545455,4.1,1
REST_0116,55,348.12309090909093,19146.77,45.43846153846154,4.7,1
REST_0117,61,1002.7132786885246,61165.51,44.27272727272727,4.4,1
REST_0118,39,632.5089743589743,24667.85,53.03783783783784,4.3,1
REST_0119,44,845.7870454545454,37214.63,52.18571428571429,4.4,1
REST_0120,45,356.6073333333333,16047.33,55.254999999999995,4.0,1
REST_0121,39,376.08153846153846,14667.18,44.94166666666667,5.0,1
REST_0122,41,278.9819512195122,11438.26,54.48421052631579,3.1,1
REST_0123,34,537.0088235294118,18258.3,51.28666666666666,4.8,1
REST_0124,102,287.42411764705884,29317.26,51.33483146067416,4.5,1
REST_0125,56,862.0473214285714,48274.65,47.9921568627451,4.2,1
REST_0126,54,470.2009259259259,25390.85,49.93404255319149,4.1,1
REST_0127,77,845.1958441558442,65080.08,49.054794520547944,4.0,1
REST_0128,40,398.9455,15957.82,54.55135135135136,4.6,1
REST_0129,89,644.0740449438202,57322.59,48.820481927710844,4.1,1
