customer_id,age,gender,city,signup_date,membership_type
CUST_00001,30,Male,Bengaluru,2024-10-25,Basic
CUST_00002,39,Female,Bengaluru,2025-02-06,Premium
CUST_00003,26,Female,Mumbai,2024-12-01,Plus
CUST_00004,41,Female,Bengaluru,2024-11-30,Plus
CUST_00005,32,Female,Chennai,2024-07-12,Basic
CUST_00006,41,Female,Pune,2024-11-10,Basic
CUST_00007,26,Male,Kochi,2025-02-13,Basic
CUST_00008,31,Female,Pune,2025-03-28,Premium
CUST_00009,34,Other,Kochi,2024-08-12,Plus
CUST_00010,30,Male,Pune,2024-07-21,Plus
CUST_00011,39,Female,Chennai,2024-10-15,Basic
CUST_00012,18,Female,Delhi,2024-10-25,Premium
CUST_00013,50,Female,Pune,2024-11-01,Plus
CUST_00014,38,Female,Hyderabad,2025-01-19,Basic
CUST_00015,30,Male,Bengaluru,2024-08-20,Basic
CUST_00016,27,Male,Pune,2025-03-28,Basic
CUST_00017,24,Male,Bengaluru,2024-11-18,Basic
CUST_00018,36,Female,Delhi,2024-08-21,Basic
CUST_00019,39,Male,Bengaluru,2024-07-27,Basic
CUST_00020,30,Female,Mumbai,2024-12-04,Basic
CUST_00021,40,Male,Mumbai,2025-02-24,Plus
CUST_00022,24,Male,Bengaluru,2024-12-03,Basic
CUST_00023,22,Male,Hyderabad,2024-11-13,Basic
CUST_00024,46,Female,Delhi,2024-11-21,Basic
CUST_00025,36,Male,Kolkata,2024-10-14,Basic
CUST_00026,42,Male,Ahmedabad,2024-12-05,Plus
CUST_00027,24,Male,Mumbai,2024-11-23,Basic
CUST_00028,24,Male,Pune,2024-07-02,Basic
CUST_00029,28,Male,Hyderabad,2024-09-15,Plus
CUST_00030,24,Female,Hyderabad,2024-11-09,Basic
CUST_00031,37,Female,Chennai,2024-09-28,Plus
CUST_00032,25,Male,Mumbai,2025-03-20,Basic
CUST_00033,22,Female,Hyderabad,2024-10-16,Basic
CUST_00034,32,Other,Bengaluru,2024-09-12,Premium
CUST_00035,21,Female,Delhi,2024-08-08,Premium
CUST_00036,18,Female,Pune,2024-12-06,Plus
CUST_00037,32,Female,Hyderabad,2024-09-09,Basic
CUST_00038,18,Female,Bengaluru,2025-02-26,Basic
CUST_00039,37,Female,Hyderabad,2024-08-05,Plus
CUST_00040,20,Male,Mumbai,2024-09-22,Basic
CUST_00041,18,Female,Delhi,2025-03-20,Basic
CUST_00042,29,Female,Hyderabad,2024-12-19,Basic
CUST_00043,32,Male,Delhi,2024-12-20,Basic
CUST_00044,35,Male,Ahmedabad,2024-08-16,Premium
CUST_00045,32,Female,Chennai,2024-11-18,Basic
CUST_00046,23,Female,Kochi,2024-10-26,Plus
CUST_00047,37,Male,Hyderabad,2025-01-30,Basic
CUST_00048,39,Female,Chennai,2025-02-05,Basic
CUST_00049,21,Male,Hyderabad,2024-07-26,Basic
CUST_00050,30,Male,Bengaluru,2024-07-09,Basic
CUST_00051,29,Female,Bengaluru,2025-03-28,Premium
CUST_00052,33,Male,Hyderabad,2024-07-10,Plus
CUST_00053,29,Male,Pune,2024-10-29,Premium
CUST_00054,30,Female,Ahmedabad,2024-11-02,Premium
